               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10651,            0.025892,                   0,          0.00047619,            0.047619,          0.00026176,          5.0805e-05,            0.098845,            0.021572,                   0,            0.070349,           0.0032946,           0.0032946
                   1,             0.10031,            0.024623,                   0,          0.00081633,              0.2449,          0.00057022,          0.00011808,             0.09389,            0.020632,                   0,            0.040283,           0.0065623,           0.0065623
                   2,            0.094748,            0.024341,                   0,          0.00031746,            0.095238,          0.00019204,           4.373e-05,             0.12007,            0.012444,                   0,            0.010152,            0.009764,            0.009764
                   3,            0.092157,            0.022083,                   0,          0.00097506,             0.29252,           0.0010726,          0.00026342,            0.088704,            0.016477,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.090539,            0.020685,                   0,           0.0014512,             0.43537,           0.0032066,          0.00071953,            0.084399,            0.016229,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.088922,            0.020555,                   0,           0.0014966,             0.44898,           0.0015441,          0.00036798,            0.091033,            0.014148,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.085902,            0.020173,                   0,           0.0023356,             0.70068,           0.0074286,           0.0015596,            0.079809,            0.015017,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.083205,            0.020088,                   0,           0.0024717,              0.7415,            0.011319,           0.0022702,             0.07732,            0.015074,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.08111,            0.019661,                   0,           0.0025624,             0.76871,            0.019017,           0.0039051,            0.074361,            0.014973,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.077842,            0.019601,                   0,           0.0038373,             0.56463,           0.0083429,           0.0019149,            0.076776,            0.013773,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.076546,            0.019596,                   0,            0.009193,             0.72789,            0.033589,           0.0069189,            0.071699,            0.014036,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.075921,            0.019157,                   0,            0.013009,             0.41497,            0.024643,           0.0057034,            0.074899,            0.013799,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.074832,            0.019846,                   0,            0.023042,             0.46939,            0.046988,            0.011733,            0.071573,            0.013526,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.073949,            0.019574,                   0,            0.047969,             0.41497,            0.080107,            0.026758,            0.069102,            0.013467,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.07159,            0.019422,                   0,            0.047829,             0.38776,            0.044439,            0.013023,            0.070777,            0.013868,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.071289,            0.019509,                   0,             0.12028,              0.2449,             0.07197,            0.022269,            0.065944,            0.013476,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.069634,            0.019867,                   0,             0.10645,             0.18315,            0.075613,            0.019979,            0.067545,            0.013806,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.067427,            0.019676,                   0,             0.11795,             0.18467,            0.080688,            0.022465,            0.065116,            0.013229,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.066963,            0.018882,                   0,             0.10331,              0.2517,            0.068562,            0.015545,             0.06761,            0.013468,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.066974,            0.019847,                   0,             0.17162,              0.2517,             0.11488,            0.031073,            0.068064,            0.012883,                   0,            0.008218,            0.008218,            0.008218
