               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1022,            0.024421,                   0,          0.00064626,             0.19388,          0.00044191,          0.00010025,             0.09431,            0.018135,                   0,            0.070117,           0.0033204,           0.0033204
                   1,            0.092912,            0.021459,                   0,           0.0012698,             0.38095,           0.0013223,          0.00026596,            0.089334,            0.015459,                   0,            0.040051,           0.0065878,           0.0065878
                   2,            0.087526,            0.020918,                   0,           0.0012585,             0.37755,           0.0035909,          0.00075751,            0.084302,            0.015319,                   0,            0.009919,           0.0097893,           0.0097893
                   3,            0.081274,            0.020313,                   0,           0.0021202,             0.63605,           0.0086847,           0.0016163,            0.080961,            0.014299,                   0,            0.009703,            0.009703,            0.009703
                   4,              0.0759,            0.020171,                   0,            0.013421,             0.72789,            0.043182,           0.0088141,            0.067534,             0.01486,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.072045,            0.019676,                   0,             0.01797,             0.39796,            0.017567,            0.004637,            0.072978,             0.01332,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.069359,            0.019634,                   0,             0.10084,             0.41156,            0.091483,            0.025394,            0.063683,            0.014127,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.067564,            0.018344,                   0,             0.13946,             0.20408,            0.083806,            0.026908,            0.070609,            0.013351,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.064548,            0.017584,                   0,             0.45378,               0.308,             0.32351,            0.093608,            0.059467,            0.012284,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.062382,            0.017347,                   0,             0.27446,             0.17687,             0.12053,            0.029372,            0.072815,            0.012821,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.05921,            0.016276,                   0,             0.43906,             0.44727,             0.36693,             0.10493,            0.056995,            0.011464,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.057118,            0.015691,                   0,             0.57589,             0.56803,             0.53422,             0.17297,            0.052688,            0.010454,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.055129,            0.014587,                   0,             0.55031,             0.56463,             0.49532,              0.1623,            0.051291,            0.010313,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.053824,            0.014301,                   0,             0.55617,             0.56803,             0.52228,             0.17663,            0.052861,            0.010401,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.052443,            0.014172,                   0,             0.78695,             0.51701,             0.60605,             0.22012,            0.049241,           0.0097135,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.051125,             0.01327,                   0,             0.42058,             0.42713,             0.37618,             0.12111,            0.058341,             0.01099,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.049725,            0.013196,                   0,             0.84654,             0.65306,             0.76352,             0.31876,            0.044262,           0.0091766,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.049034,            0.012876,                   0,             0.73339,             0.76871,             0.74656,             0.29479,            0.044326,           0.0082673,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.047929,            0.012365,                   0,             0.70431,             0.54282,             0.64927,             0.23022,            0.048643,           0.0095308,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.046749,            0.011935,                   0,             0.51114,             0.39475,             0.42065,             0.14699,            0.054532,            0.011045,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.045717,              0.0119,                   0,              0.8374,             0.65646,             0.75181,             0.28697,             0.04427,           0.0085793,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.044902,             0.01166,                   0,             0.75112,             0.82653,             0.83292,             0.37077,            0.041883,           0.0078841,                   0,             0.00802,             0.00802,             0.00802
                  22,             0.04435,             0.01158,                   0,             0.79604,             0.78325,             0.78133,             0.30965,            0.042715,           0.0079555,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.043993,            0.011481,                   0,             0.82401,             0.73129,              0.8052,             0.32579,             0.04313,           0.0080773,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.043063,            0.011156,                   0,             0.90177,             0.87432,             0.90301,             0.43619,            0.038792,            0.007106,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.042085,            0.010967,                   0,             0.89358,              0.8568,             0.91451,             0.44622,            0.038217,           0.0071289,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.041613,            0.010816,                   0,             0.86314,             0.90476,             0.90834,             0.42705,             0.03798,           0.0071654,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.041477,            0.010645,                   0,              0.8741,             0.87375,             0.88866,             0.42507,            0.039752,           0.0069927,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.041743,             0.01057,                   0,             0.87112,             0.87755,             0.91394,             0.45431,            0.038248,           0.0067126,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.040254,            0.010478,                   0,             0.90224,             0.91156,             0.92358,             0.46916,            0.037057,           0.0066237,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.040069,             0.01064,                   0,              0.8518,             0.72333,             0.83331,             0.36324,            0.042436,           0.0081945,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.039579,            0.010287,                   0,             0.86734,             0.85714,             0.90453,             0.46301,            0.037183,           0.0068313,                   0,             0.00703,             0.00703,             0.00703
